Open,Close,High,Low,Volume,Date
23.89,23.97,24.16,23.53,,12/30/22
23.54,23.96,24.06,23.52,,12/29/22
24.04,23.63,24.07,23.47,,12/28/22
23.85,24.12,24.29,23.78,,12/27/22
23.56,23.72,23.87,23.51,,12/23/22
23.95,23.62,24.08,23.37,,12/22/22
24.14,24.03,24.31,23.83,,12/21/22
22.98,24.22,24.25,22.88,,12/20/22
23.19,23.05,23.41,22.84,,12/19/22
23.21,23.21,23.21,23.21,,12/17/22
23.07,23.21,23.25,22.55,,12/16/22
23.9,23.16,23.94,22.98,,12/15/22
23.72,23.99,24.04,23.37,,12/14/22
23.31,23.83,24.11,23.3,,12/13/22
23.31,23.42,23.54,23.11,,12/12/22
23.47,23.47,23.47,23.47,,12/10/22
23.1,23.47,23.68,22.96,,12/09/22
22.72,23.07,23.2,22.54,,12/08/22
22.17,22.67,22.81,22.09,,12/07/22
22.23,22.19,22.6,22.03,,12/06/22
23.1,22.33,23.52,22.16,,12/05/22
23.12,23.12,23.12,23.12,,12/04/22
23.12,23.12,23.12,23.12,,12/03/22
22.72,23.13,23.24,22.3,,12/02/22
22.28,22.74,22.79,22.05,,12/01/22
21.23,22.2,22.24,21.19,,11/30/22
20.95,21.24,21.45,20.9,,11/29/22
21.36,21.01,21.61,20.87,,11/28/22
21.62,21.62,21.62,21.62,,11/26/22
21.48,21.62,21.62,21.16,,11/25/22
21.53,21.55,21.68,21.46,,11/24/22
21.08,21.54,21.58,20.91,,11/23/22
20.85,21.09,21.32,20.84,,11/22/22
20.99,20.85,21.01,20.58,,11/21/22
20.92,20.92,20.92,20.92,,11/19/22
20.98,20.92,21.3,20.84,,11/18/22
21.42,21.03,21.48,20.76,,11/17/22
21.53,21.52,22.05,21.4,,11/16/22
21.95,21.63,22.24,21.39,,11/15/22
21.56,21.99,22.09,21.3,,11/14/22
21.71,21.71,21.71,21.71,,11/13/22
21.71,21.71,21.71,21.71,,11/12/22
21.64,21.71,22.06,21.28,,11/11/22
21.02,21.76,21.82,20.96,,11/10/22
21.34,21.13,21.59,21,,11/09/22
20.77,21.36,21.64,20.5,,11/08/22
20.56,20.83,21.01,20.39,,11/07/22
20.86,20.86,20.86,20.86,,11/05/22
19.45,20.86,20.92,19.42,,11/04/22
19.17,19.45,19.56,18.85,,11/03/22
19.64,19.21,20.05,19.2,,11/02/22
19.16,19.62,20.02,19.15,,11/01/22
19.23,19.16,19.26,18.91,,10/31/22
19.22,19.22,19.23,19.15,,10/30/22
19.25,19.25,19.25,19.25,,10/29/22
19.57,19.25,19.66,19.01,,10/28/22
19.55,19.61,19.69,19.3,,10/27/22
19.3,19.65,19.79,19.22,,10/26/22
19.22,19.37,19.45,18.79,,10/25/22
19.5,19.29,19.66,19.03,,10/24/22
19.43,19.43,19.43,19.43,,10/22/22
18.65,19.43,19.43,18.29,,10/21/22
18.46,18.69,19.01,18.22,,10/20/22
18.74,18.47,18.81,18.37,,10/19/22
18.65,18.79,18.94,18.55,,10/18/22
18.31,18.71,18.93,18.29,,10/17/22
18.28,18.28,18.28,18.28,,10/15/22
18.87,18.28,19.07,18.09,,10/14/22
19.05,18.89,19.32,18.46,,10/13/22
19.15,19.09,19.31,18.87,,10/12/22
19.61,19.22,19.72,19.07,,10/11/22
20.1,19.68,20.19,19.51,,10/10/22
20.14,20.14,20.14,20.14,,10/09/22
20.14,20.14,20.14,20.14,,10/08/22
20.64,20.14,20.82,20,,10/07/22
20.6,20.68,20.87,20.37,,10/06/22
21.03,20.73,21.07,19.95,,10/05/22
20.7,21.14,21.24,20.61,,10/04/22
19.09,20.78,20.78,19.05,,10/03/22
19.03,19.03,19.03,19.03,,10/02/22
19.03,19.03,19.03,19.03,,10/01/22
18.85,19.03,19.29,18.78,,09/30/22
18.89,18.84,18.91,18.49,,09/29/22
18.4,18.92,18.97,17.97,,09/28/22
18.38,18.46,18.78,18.32,,09/27/22
18.8,18.36,19.03,18.33,,09/26/22
18.88,18.88,18.88,18.88,,09/25/22
18.88,18.88,18.88,18.88,,09/24/22
