Open,Close,High,Low,Volume,Date
1814.32,1824.56,1825.85,1813.43,,12/30/22
1805.24,1810.33,1819.83,1804.27,,12/29/22
1813.77,1802.65,1814.49,1796.99,,12/28/22
1796.68,1812.83,1832.35,1796.52,,12/27/22
1798.24,1798.24,1798.24,1798.24,,12/26/22
0,1798.24,1798.24,0,,12/25/22
1798.16,1798.16,1798.16,1798.16,,12/24/22
1793.01,1798.16,1802.88,1790.97,,12/23/22
1814.04,1791.83,1820.45,1784.74,,12/22/22
1817.8,1814.13,1823.5,1811.62,,12/21/22
1787.34,1817.82,1820.45,1784.66,,12/20/22
1792.51,1787.39,1798.17,1783.93,,12/19/22
0,1790.07,1793.63,1790.07,,12/18/22
1792.41,1792.41,1792.41,1792.41,,12/17/22
1776.26,1792.41,1794.14,1774.38,,12/16/22
1806.7,1777.11,1808.58,1774.42,,12/15/22
1810.84,1807.35,1813.03,1796.53,,12/14/22
1781.24,1811.37,1814.8,1780.82,,12/13/22
1796.85,1781.56,1796.85,1777.71,,12/12/22
0,1796.85,0,0,,12/11/22
1796.85,1796.85,1796.85,1796.85,,12/10/22
1789.56,1796.85,1805.86,1788.28,,12/09/22
1786.13,1789.59,1794.6,1781.35,,12/08/22
1770.9,1785.78,1790.3,1768.77,,12/07/22
1767.9,1770.07,1780.7,1767.12,,12/06/22
1795.3,1767.05,1809.76,1765.7,,12/05/22
1797.95,1797.94,1797.95,1797.94,,12/04/22
1797.95,1797.95,1797.95,1797.95,,12/03/22
1802.16,1797.95,1804.4,1790.32,,12/02/22
1770.36,1803.22,1803.41,1769.52,,12/01/22
1749,1768,1769.89,1744.78,,11/30/22
1740.68,1748.9,1758.73,1740.08,,11/29/22
1754.58,1740.84,1763.47,1739.52,,11/28/22
0,1754.58,0,0,,11/27/22
1754.58,1754.58,1754.58,1754.58,,11/26/22
1754.93,1754.58,1760.99,1745.86,,11/25/22
1749.86,1756.17,1758.58,1749.45,,11/24/22
1740.07,1750.77,1752.48,1728.5,,11/23/22
1738.72,1739.86,1749.31,1737.05,,11/22/22
1751.29,1737.84,1753.04,1732.4,,11/21/22
0,1750.55,1750.55,0,,11/20/22
1749.97,1749.97,1749.97,1749.97,,11/19/22
1760.56,1749.97,1767.41,1747.45,,11/18/22
1772.97,1760.18,1774.61,1754.69,,11/17/22
1778.5,1773.22,1785,1770.21,,11/16/22
1770.6,1779.2,1786.01,1766.97,,11/15/22
1763.79,1770.73,1774.78,1753.39,,11/14/22
1770.7,1770.7,1770.7,1770.7,,11/13/22
1770.7,1770.7,1770.7,1770.7,,11/12/22
1753.35,1770.7,1772.67,1747.28,,11/11/22
1705.87,1755.15,1756.85,1703.67,,11/10/22
1711.09,1706.67,1722.03,1702.2,,11/09/22
1674.55,1713.33,1716.8,1664.8,,11/08/22
1675.91,1675.39,1681.31,1666.81,,11/07/22
0,1681.34,1681.34,0,,11/06/22
1681.27,1681.27,1681.27,1681.27,,11/05/22
1630.05,1681.27,1681.56,1629.24,,11/04/22
1632.57,1630.22,1640.7,1616.59,,11/03/22
1646.96,1633.55,1668.9,1633.43,,11/02/22
1632.95,1646.43,1656.43,1631.02,,11/01/22
1644.49,1632.85,1645.38,1631.81,,10/31/22
0,1644.38,1644.71,1642.11,,10/30/22
1642.76,1642.76,1642.76,1642.76,,10/29/22
1661.86,1642.76,1666.91,1638.29,,10/28/22
1664.38,1663.32,1670.34,1655.52,,10/27/22
1651.64,1664.77,1674.48,1649.53,,10/26/22
1650.07,1653.22,1660.44,1638.23,,10/25/22
1661.84,1649.7,1669.02,1644.08,,10/24/22
0,1657.66,0,0,,10/23/22
1657.66,1657.66,1657.66,1657.66,,10/22/22
1628.07,1657.66,1657.84,1618.06,,10/21/22
1629.36,1628.19,1645.17,1622.44,,10/20/22
1652.34,1629.15,1654.4,1627.85,,10/19/22
1650.8,1652.38,1660.78,1646.12,,10/18/22
1644.45,1650.47,1668.1,1644.2,,10/17/22
0,1644.45,0,0,,10/16/22
1644.45,1644.45,1644.45,1644.45,,10/15/22
1665.9,1644.45,1671.44,1640.39,,10/14/22
1673.87,1666.32,1682.05,1642.96,,10/13/22
1666.59,1673.27,1678.07,1661.45,,10/12/22
1668.25,1666.1,1683.85,1661.16,,10/11/22
1696.25,1668.51,1699.88,1665.83,,10/10/22
1694.79,1694.79,1694.79,1694.79,,10/09/22
1694.79,1694.79,1694.79,1694.79,,10/08/22
1711.63,1694.79,1714.75,1691.03,,10/07/22
1715.38,1711.11,1725.4,1707.05,,10/06/22
1724.85,1716.06,1727.61,1701.06,,10/05/22
1698.97,1726.51,1729.08,1695.07,,10/04/22
1664,1699.85,1701.2,1659.7,,10/03/22
1660.67,1660.67,1660.67,1660.67,,10/02/22
1660.67,1660.67,1660.67,1660.67,,10/01/22
1662.18,1660.67,1674.95,1659.35,,09/30/22
1659.25,1660.8,1664.55,1641.53,,09/29/22
1629.47,1659.7,1662.75,1615.05,,09/28/22
1624.35,1629.09,1642.15,1623.91,,09/27/22
1642.61,1622.12,1649.55,1621.2,,09/26/22
1644.09,1644.09,1644.09,1644.09,,09/25/22
1644.09,1644.09,1644.09,1644.09,,09/24/22
1671.3,1644.09,1675.7,1639.99,,09/23/22
1671.56,1671.31,1684.6,1656.15,,09/22/22
1664.96,1674.28,1687.41,1654.79,,09/21/22
1675.66,1663.67,1679.2,1660.01,,09/20/22
1674.35,1676.09,1680.03,1659.99,,09/19/22
1672.66,1672.66,1672.66,1672.66,,09/18/22
1672.66,1672.66,1672.66,1672.66,,09/17/22
1664.2,1672.66,1679.99,1654.43,,09/16/22
1697.36,1664.27,1698.25,1660.47,,09/15/22
1700.88,1696.05,1706.85,1693.61,,09/14/22
1724.75,1701.93,1731.48,1697.24,,09/13/22
1718.3,1724.76,1734.75,1712.03,,09/12/22
1717.05,1717.05,1717.05,1717.05,,09/11/22
1717.05,1717.05,1717.05,1717.05,,09/10/22
1708.78,1717.05,1729.23,1708.63,,09/09/22
1718.43,1707.54,1727.83,1704.1,,09/08/22
1702.43,1718.36,1719.35,1691.53,,09/07/22
1710.91,1701.51,1726.15,1699.93,,09/06/22
1712.44,1710.56,1715.7,1707.85,,09/05/22
1712.44,1712.44,1712.44,1712.44,,09/04/22
1712.44,1712.44,1712.44,1712.44,,09/03/22
1697.14,1712.44,1717.73,1694.98,,09/02/22
1711.13,1696.4,1711.43,1689.05,,09/01/22
