Open,Close,High,Low,Volume,Date
26.59075,26.45525,26.68875,26.261,,12/31/20
26.18875,26.66875,26.67875,26.1455,,12/30/20
26.22075,26.21375,26.59825,25.985,,12/29/20
25.28725,26.22125,26.76375,25.28725,,12/28/20
25.83,25.83,25.83,25.83,,12/27/20
25.5475,25.83,25.90425,25.43575,,12/24/20
25.25,25.53775,25.78375,25.0975,,12/23/20
26.23625,25.18425,26.57925,25.055,,12/22/20
25.86,26.17,27.37075,25.15,,12/21/20
25.8125,25.8125,25.8125,25.8125,,12/20/20
26.0075,25.8125,26.115,25.66875,,12/18/20
25.305,26.075,26.08125,25.16125,,12/17/20
24.53125,25.34525,25.4675,24.45425,,12/16/20
23.86275,24.5,24.55875,23.83125,,12/15/20
23.97375,23.8325,24.2275,23.68725,,12/14/20
23.9375,23.9375,23.9375,23.9375,,12/13/20
24.005,23.9375,24.09875,23.61625,,12/11/20
23.92,23.61,24.27325,23.605,,12/10/20
24.55875,23.95,24.57625,23.6225,,12/09/20
24.49575,24.55,24.86125,24.44,,12/08/20
24.195,24.485,24.77625,23.60225,,12/07/20
24.065,24.195,24.34225,23.805,,12/04/20
24.07775,24.0625,24.28125,23.375,,12/03/20
23.94425,24.1,24.31125,23.56125,,12/02/20
22.62075,24.0055,24.05,22.5925,,12/01/20
22.75125,22.62275,22.75125,21.9075,,11/30/20
22.8125,22.8125,22.8125,22.8125,,11/29/20
22.95,22.7,23.31625,22.35625,,11/27/20
23.37625,23.8,23.8,23.19,,11/26/20
23.2925,23.345,23.51425,23.11125,,11/25/20
23.6275,23.395,23.63125,22.94575,,11/24/20
24.1475,23.605,24.39125,23.4425,,11/23/20
24.16975,24.16975,24.16975,24.16975,,11/21/20
23.95225,24.16975,24.5175,23.91,,11/20/20
24.3725,24.04675,24.3725,23.64,,11/19/20
24.5,24.3375,24.6925,24.2425,,11/18/20
24.77075,24.4775,24.80625,24.3675,,11/17/20
24.66375,24.77,25.06325,24.22,,11/16/20
25.0925,24.9425,25.0925,24.9425,,11/15/20
24.30875,25.095,25.095,24.15675,,11/13/20
24.28125,24.2825,24.39,24.045,,11/12/20
24.20025,24.2825,24.42875,23.80375,,11/11/20
24.075,24.2225,24.4925,23.90825,,11/10/20
25.7775,24.085,25.9875,23.60125,,11/09/20
24.705,24.705,24.705,24.705,,11/08/20
25.25875,24.705,25.825,24.705,,11/06/20
23.9075,25.39,25.47,23.9025,,11/05/20
24.29,23.9,24.47125,23.31375,,11/04/20
24.085,24.22375,24.36675,23.91625,,11/03/20
23.61875,24.225,24.225,23.4,,11/02/20
24.7375,23.9775,24.7375,23.9775,,11/01/20
24.7375,24.7375,24.7375,24.7375,,10/31/20
23.28175,24.7375,24.7375,23.17275,,10/30/20
23.39875,23.2475,23.57075,22.5975,,10/29/20
24.29875,23.40375,24.5675,23.04,,10/28/20
24.30125,24.26625,24.60125,24.2275,,10/27/20
24.30125,24.3,24.56125,24.12625,,10/26/20
25.495,24.40875,25.495,24.405,,10/25/20
24.72875,25.495,25.495,24.43,,10/23/20
25.04625,24.7245,25.08625,24.38875,,10/22/20
24.74,25.045,25.27,24.68875,,10/21/20
24.37625,24.635,24.92375,24.33875,,10/20/20
24.21125,24.3975,24.94975,24.12375,,10/19/20
24.7875,24.7875,24.7875,24.7875,,10/18/20
24.33125,23.7525,24.5075,23.7525,,10/16/20
24.27375,24.27975,24.3075,23.615,,10/15/20
24.2175,24.7875,24.7875,23.90675,,10/14/20
25.1575,24.15375,25.19875,23.94,,10/13/20
25.08325,25.105,25.57,24.8425,,10/12/20
24.2125,24.2125,24.2125,24.2125,,10/11/20
23.8725,24.2125,25.17875,23.8325,,10/09/20
23.81375,23.84,24.1925,23.66825,,10/08/20
23.12625,23.8075,23.9575,23.08375,,10/07/20
24.3825,23.065,24.48625,22.92,,10/06/20
23.8575,24.4875,24.6925,23.68875,,10/05/20
23.725,23.725,23.725,23.725,,10/04/20
23.78375,23.725,24.1825,23.48575,,10/02/20
23.32625,24.0475,24.15325,23.24125,,10/01/20
24.26125,23.2375,24.31125,23.1575,,09/30/20
23.7025,24.20225,24.395,23.3975,,09/29/20
23.0525,22.9975,23.72075,22.555,,09/28/20
23.2375,23.2375,23.2375,23.2375,,09/27/20
23.1875,23.2375,23.29125,22.48875,,09/25/20
22.87875,23.17725,23.33175,21.66825,,09/24/20
24.4225,22.7775,24.4675,22.60925,,09/23/20
24.83175,24.38875,25.19225,23.8685,,09/22/20
26.70625,24.895,26.9575,23.83625,,09/21/20
27.2875,27.2875,27.2875,27.2875,,09/20/20
27.01875,27.2875,27.2875,26.70375,,09/18/20
27.175,27.0495,27.2075,26.3275,,09/17/20
27.16125,27.4875,27.4875,26.9,,09/16/20
27.15,27.5475,27.61675,27.03325,,09/15/20
26.6925,27.1175,27.29475,26.685,,09/14/20
26.75075,26.75075,26.75075,26.75075,,09/12/20
26.91775,26.75075,27.0285,26.59,,09/11/20
26.98875,26.8825,27.4775,26.69875,,09/10/20
26.6325,26.97175,27.12575,26.41925,,09/09/20
26.89875,26.665,27.1,25.855,,09/08/20
26.9,26.55925,27.1475,26.525,,09/07/20
26.9925,26.9925,26.9925,26.9925,,09/06/20
26.64625,26.9925,27.00075,26.34,,09/04/20
27.4275,26.6025,27.7025,26.49375,,09/03/20
28.05225,27.4475,28.31225,27.07875,,09/02/20
28.18075,28.11,28.8925,27.718,,09/01/20
27.6375,28.1375,28.35325,27.61825,,08/31/20
27.495,27.495,27.495,27.495,,08/30/20
27.495,27.495,27.495,27.495,,08/29/20
27.02625,27.495,27.7075,26.8425,,08/28/20
27.44325,27.01525,27.8925,26.53575,,08/27/20
26.54075,27.50975,27.50975,26.13375,,08/26/20
26.6325,26.535,26.79,26.1075,,08/25/20
26.6925,26.3125,27.2325,26.275,,08/24/20
25.9125,25.93725,25.93725,25.9125,,08/23/20
27.28625,25.9125,27.53625,25.9125,,08/21/20
26.78375,26.835,27.50625,26.6075,,08/20/20
27.80125,26.7125,28.00125,26.5025,,08/19/20
27.44125,28.8925,28.8925,27.12875,,08/18/20
26.59,27.4975,27.56375,25.86875,,08/17/20
26.4475,26.4475,26.4475,26.4475,,08/16/20
26.4475,26.4475,26.4475,26.4475,,08/15/20
27.40375,26.4475,27.69375,25.82425,,08/14/20
25.74125,27.52825,27.65325,25.30625,,08/13/20
25.34625,25.12,26.29,23.5025,,08/12/20
29.01375,24.7975,29.25125,24.54375,,08/11/20
28.20725,28.61,29.385,27.83125,,08/10/20
28.2975,28.2975,28.2975,28.2975,,08/09/20
28.2975,28.2975,28.2975,28.2975,,08/08/20
29.14225,28.2975,29.8425,27.45225,,08/07/20
27.0625,29.425,29.425,26.82125,,08/06/20
26.0625,26.9425,27.115,25.52125,,08/05/20
24.39375,26.0075,26.01575,24.155,,08/04/20
24.765,23.5125,24.82125,23.5125,,08/03/20
24.4425,24.4425,24.4425,24.4425,,08/02/20
24.4425,24.4425,24.4425,24.4425,,08/01/20
23.5225,24.4425,24.46875,23.29625,,07/31/20
24.375,23.495,24.38625,22.97125,,07/30/20
24.49375,24.31375,24.90925,23.44,,07/29/20
24.735,24.4025,26.15125,22.41125,,07/28/20
22.84425,24.585,24.6,22.84425,,07/27/20
22.79,22.79,22.79,22.79,,07/26/20
22.79,22.79,22.79,22.79,,07/25/20
22.68,22.79,22.91075,22.43125,,07/24/20
23.2375,22.225,23.2375,22.2125,,07/23/20
21.29,22.9925,23.0425,21.29,,07/22/20
19.9,21.29,21.3215,19.86125,,07/21/20
19.325,19.91375,19.9225,19.24775,,07/20/20
19.335,19.075,19.335,19.0125,,07/19/20
19.335,19.335,19.335,19.335,,07/18/20
19.16,19.335,19.39125,18.91775,,07/17/20
19.4675,19.1175,19.4675,19.09425,,07/16/20
18.8625,19.19475,19.78,18.8625,,07/15/20
19.08625,18.8125,19.29075,18.8125,,07/14/20
18.76125,19.065,19.3825,18.74,,07/13/20
18.72425,18.72425,18.72425,18.72425,,07/12/20
18.72425,18.72425,18.72425,18.72425,,07/11/20
18.645,18.72425,18.80175,18.4925,,07/10/20
18.755,18.6475,19.05,18.5075,,07/09/20
18.25375,18.715,18.76675,18.25175,,07/08/20
18.28925,18.32,18.36125,17.995,,07/07/20
18.02825,18.1675,18.395,17.945,,07/06/20
18.0475,17.5075,18.0475,17.5075,,07/05/20
17.9525,18.0475,18.07125,17.9375,,07/03/20
18.0425,17.94625,18.1175,17.7925,,07/02/20
18.2025,17.515,18.435,17.515,,07/01/20
17.835,17.515,18.24075,17.515,,06/30/20
17.8275,17.855,17.95125,17.6875,,06/29/20
17.80375,17.80375,17.80375,17.80375,,06/27/20
17.765,17.80375,17.93375,17.49575,,06/26/20
17.50625,17.865,17.865,17.4475,,06/25/20
17.94625,17.865,18.07125,17.4335,,06/24/20
17.7275,17.775,18.01,17.66975,,06/23/20
17.70125,17.72,18.0225,17.66675,,06/22/20
17.6225,17.6225,17.6225,17.6225,,06/21/20
17.6225,17.6225,17.6225,17.6225,,06/20/20
17.37875,17.6225,17.80675,17.36675,,06/19/20
17.48325,17.3675,17.6725,17.313,,06/18/20
17.44625,17.52775,17.605,17.33875,,06/17/20
17.4075,17.635,17.635,17.2825,,06/16/20
17.47375,17.3975,17.53525,16.94875,,06/15/20
17.49125,17.49125,17.49125,17.49125,,06/14/20
17.49125,17.49125,17.49125,17.49125,,06/13/20
17.66625,17.49125,17.74075,17.39575,,06/12/20
18.15375,17.65,18.16,17.47825,,06/11/20
17.5725,18.125,18.17725,17.545,,06/10/20
17.4445,17.55,17.7725,17.4445,,06/09/20
17.32875,17.78875,17.8,17.3275,,06/08/20
17.41,17.41,17.41,17.41,,06/07/20
17.41,17.41,17.41,17.41,,06/06/20
17.72375,17.41,17.7575,17.22125,,06/05/20
17.65375,17.7075,17.843,17.4725,,06/04/20
18.0625,17.495,18.07,17.4875,,06/03/20
18.29,18.0775,18.37175,17.79575,,06/02/20
18.0125,18.2925,18.38925,18.0125,,06/01/20
17.87,17.87,17.87,17.87,,05/30/20
17.3975,17.87,17.90925,17.26875,,05/29/20
17.2825,17.365,17.50425,17.18725,,05/28/20
17.155,17.2675,17.35625,16.85325,,05/27/20
17.09125,17.14,17.45,17.03275,,05/26/20
17.15125,16.5375,17.17875,16.53,,05/25/20
17.2075,17.2075,17.2075,17.2075,,05/24/20
17.11375,17.2075,17.2325,16.74625,,05/22/20
17.5275,17.11875,17.53375,16.895,,05/21/20
17.35625,17.565,17.63475,17.275,,05/20/20
17,17.345,17.4875,16.99,,05/19/20
16.77925,16.97,17.56825,16.66775,,05/18/20
16.6425,16.6425,16.6425,16.6425,,05/17/20
15.85675,16.6425,16.735,15.7925,,05/15/20
15.585,15.885,15.895,15.45125,,05/14/20
15.45925,15.59125,15.64,15.39125,,05/13/20
15.48375,15.4225,15.625,15.35275,,05/12/20
15.4875,15.50675,15.61225,15.27875,,05/11/20
15.47675,15.47675,15.47675,15.47675,,05/10/20
15.47675,15.47675,15.47675,15.47675,,05/09/20
15.3225,15.47675,15.63,15.2225,,05/08/20
14.8725,15.465,15.465,14.84925,,05/07/20
14.965,14.86,15.16625,14.8275,,05/06/20
14.79,14.9675,15.04625,14.73075,,05/05/20
14.94875,14.77925,15.0625,14.735,,05/04/20
14.965,14.965,14.965,14.965,,05/03/20
14.93225,14.965,15.05125,14.75075,,05/01/20
15.29875,14.955,15.51125,14.7825,,04/30/20
15.18,15.295,15.39325,15.09875,,04/29/20
