Open,Close,High,Low,Volume,Date
23,23.17125,23.305,23,,12/31/21
22.82875,23.055,23.10225,22.60075,,12/30/21
23.00325,23.085,23.1525,22.58925,,12/29/21
23.06,23.01875,23.4175,22.96275,,12/28/21
22.7925,23.0625,23.10675,22.647,,12/27/21
22.9925,22.9925,22.9925,22.9925,,12/26/21
23.1925,22.9925,23.1925,22.8075,,12/24/21
22.8025,23.19,23.19,22.66325,,12/23/21
22.5,22.805,22.83,22.4425,,12/22/21
22.28,22.515,22.774,22.18825,,12/21/21
22.40375,22.2375,22.44875,22.195,,12/20/21
22.37,22.37,22.37,22.37,,12/19/21
22.37,22.37,22.37,22.37,,12/18/21
22.4675,22.37,22.68125,22.3625,,12/17/21
22.10125,22.495,22.5325,21.9275,,12/16/21
21.9575,22.07725,22.1125,21.43875,,12/15/21
22.32625,21.94825,22.33625,21.70325,,12/14/21
22.28875,22.33575,22.40875,22.15,,12/13/21
22.178,22.178,22.178,22.178,,12/12/21
22.178,22.178,22.178,22.178,,12/11/21
21.98425,22.178,22.2075,21.82375,,12/10/21
22.445,21.9575,22.46575,21.8625,,12/09/21
22.50325,22.45625,22.55575,22.31175,,12/08/21
22.3925,22.47925,22.595,22.045,,12/07/21
22.51075,22.015,22.6,22.015,,12/06/21
22.015,22.015,22.015,22.015,,12/05/21
22.015,22.015,22.015,22.015,,12/04/21
22.42175,22.015,22.5525,22.015,,12/03/21
22.33125,22.015,22.4875,22.015,,12/02/21
22.86425,22.32,23.01975,22.1925,,12/01/21
22.91125,22.845,23.295,22.6925,,11/30/21
23.1375,23.08,23.4325,22.7575,,11/29/21
23.1475,23.1475,23.1475,23.1475,,11/28/21
23.5425,23.1475,23.715,22.9275,,11/26/21
23.545,23.505,23.715,23.505,,11/25/21
23.65325,23.54825,23.673,23.39775,,11/24/21
24.22975,23.01,24.3175,23.01,,11/23/21
24.57375,23.865,24.878,23.865,,11/22/21
24.60625,23.915,24.60625,23.915,,11/21/21
24.60625,24.60625,24.60625,24.60625,,11/20/21
24.8055,24.60625,24.96925,24.55,,11/19/21
25.06575,23.865,25.15025,23.865,,11/18/21
24.80725,25.0445,25.2,24.725,,11/17/21
25.084,24.8225,25.39,24.76575,,11/16/21
25.365,24.865,25.365,24.725,,11/15/21
25.3,25.3,25.3,25.3,,11/14/21
25.2225,25.3,25.36,24.85375,,11/12/21
24.6275,25.25875,25.25875,24.58825,,11/11/21
24.31025,24.495,25.115,23.865,,11/10/21
24.44425,24.37,24.985,24.04,,11/09/21
24.155,24.535,24.535,24.05625,,11/08/21
24.535,24.175,24.535,24.175,,11/07/21
24.535,24.535,24.535,24.535,,11/06/21
23.7775,24.535,24.535,23.658,,11/05/21
23.58875,23.7575,24.03225,23.44,,11/04/21
23.505,23.58,23.6175,23.025,,11/03/21
24.00325,23.504,24.05575,23.385,,11/02/21
23.79875,24.015,24.52,23.74575,,11/01/21
24.505,23.7825,24.505,23.77975,,10/31/21
23.87475,23.87475,23.87475,23.87475,,10/30/21
24.07875,23.87475,24.08025,23.65925,,10/29/21
24.06,24.09125,24.23225,23.96,,10/28/21
24.1575,24.045,24.23425,23.85,,10/27/21
24.57075,24.1375,24.57075,23.88125,,10/26/21
24.3325,24.55825,24.60825,24.29775,,10/25/21
24.025,24.055,24.055,24.025,,10/24/21
24.025,24.025,24.025,24.025,,10/23/21
24.1525,24.025,24.805,24.025,,10/22/21
24.33175,24.175,24.46875,24.0025,,10/21/21
23.65875,24.2925,24.41325,23.56825,,10/20/21
23.205,22.865,24.1155,22.865,,10/19/21
23.37775,23.2,23.445,23.0125,,10/18/21
