Open,Close,High,Low,Volume,Date
1893.75,1897.7,1899.5,1885.35,,12/31/20
1877.35,1894.7,1894.7,1876.24,,12/30/20
1874.2,1877.89,1886.2,1872.66,,12/29/20
1888.25,1873.45,1899.8,1869.84,,12/28/20
1909.7,1908.7,1908.7,1908.7,,12/27/20
0,1908.7,1908.7,1908.7,,12/25/20
1873.2,1857.2,1880.45,1855.33,,12/24/20
1861.1,1872.33,1877.5,1858.65,,12/23/20
1878.95,1860.99,1884.25,1859.1,,12/22/20
1884.15,1877.05,1906.4,1866.5,,12/21/20
1862.5,1867.47,1867.47,1862.5,,12/20/20
1884.35,1882.43,1889.25,1877.39,,12/18/20
1863.8,1885.65,1895.7,1862.2,,12/17/20
1854.1,1865.35,1865.35,1845.31,,12/16/20
1828.45,1853.5,1855.05,1825.6,,12/15/20
1837.3,1828,1838.1,1820.35,,12/14/20
1837.1,1838.53,1847.25,1824.79,,12/11/20
1838.45,1836.4,1849.75,1829.3,,12/10/20
1869.6,1839.8,1870.6,1826.03,,12/09/20
1863.15,1869.5,1874.8,1860.35,,12/08/20
1837.25,1861.4,1868.26,1824.8,,12/07/20
1841.3,1839.54,1847.75,1830.25,,12/04/20
1829.7,1841.5,1843.8,1824,,12/03/20
1812.75,1831.05,1832,1807.6,,12/02/20
1777.15,1814.8,1816.9,1775.85,,12/01/20
1789.75,1777.1,1789.75,1764.9,,11/30/20
1789.8,1789.8,1789.8,1789.8,,11/29/20
1811,1788.5,1811.45,1774.75,,11/27/20
1808.7,1811.38,1817.7,1806.7,,11/26/20
1808.25,1807.6,1817.6,1801.7,,11/25/20
1838.7,1807.41,1838.7,1801.01,,11/24/20
1871.1,1838.33,1876.15,1831.19,,11/23/20
1870.14,1870.14,1870.14,1870.14,,11/22/20
1870.14,1870.14,1870.14,1870.14,,11/21/20
1861.55,1870.14,1879.42,1861.05,,11/20/20
1873.86,1867.05,1873.95,1852.83,,11/19/20
1881.9,1873.3,1884.4,1865.25,,11/18/20
